client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20250430-221200-MACD-000-1,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-1-001,BTC/USDT.OKX-MACDStrategy-000,OKX-001,OKX-1-037,MARKET,SELL,0.0100,GTC,False,False,0.0100,TAKER,94532.2,0.0,['0.47266100 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,30cbe942-ab6c-4cf4-84d7-80870c9c8dea,2025-04-30 22:12:00+00:00,2025-04-30 22:12:00+00:00
O-20250430-221500-MACD-000-2,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-2-001,ETH/USDT.OKX-MACDStrategy-000,OKX-001,OKX-2-037,MARKET,BUY,0.0100,GTC,False,False,0.0100,TAKER,1796.08,0.0,['0.00898040 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,065eb18e-6c9a-4344-b4c5-68e05bfe5ba0,2025-04-30 22:15:00+00:00,2025-04-30 22:15:00+00:00
O-20250430-221800-MACD-000-3,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-2-002,ETH/USDT.OKX-MACDStrategy-000,OKX-001,OKX-2-039,MARKET,SELL,0.0100,GTC,True,False,0.0100,TAKER,1794.79,0.0,['0.00897395 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,eaa928e7-1a1c-4786-8c5c-d6d5ce030046,2025-04-30 22:18:00+00:00,2025-04-30 22:18:00+00:00
O-20250430-221800-MACD-000-4,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-2-003,ETH/USDT.OKX-MACDStrategy-000,OKX-001,OKX-2-040,MARKET,SELL,0.0100,GTC,False,False,0.0100,TAKER,1794.79,0.0,['0.00897395 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,9a608b95-fd5a-4d06-b6dd-44882ecacc33,2025-04-30 22:18:00+00:00,2025-04-30 22:18:00+00:00
O-20250430-225700-MACD-000-5,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-2-004,ETH/USDT.OKX-MACDStrategy-000,OKX-001,OKX-2-054,MARKET,BUY,0.0100,GTC,True,False,0.0100,TAKER,1794.49,0.0,['0.00897245 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,96373d69-eb38-43ec-8959-b9a7e38af940,2025-04-30 22:57:00+00:00,2025-04-30 22:57:00+00:00
O-20250430-225700-MACD-000-6,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-2-005,ETH/USDT.OKX-MACDStrategy-000,OKX-001,OKX-2-055,MARKET,BUY,0.0100,GTC,False,False,0.0100,TAKER,1794.49,0.0,['0.00897245 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,7d570f58-bfda-4c1a-bc01-fa6ad6df79be,2025-04-30 22:57:00+00:00,2025-04-30 22:57:00+00:00
O-20250430-231200-MACD-000-7,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-1-002,BTC/USDT.OKX-MACDStrategy-000,OKX-001,OKX-1-058,MARKET,BUY,0.0100,GTC,True,False,0.0100,TAKER,94221.0,0.0,['0.47110500 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,7233af9a-c5a7-410e-a350-6b22b53dacd9,2025-04-30 23:12:00+00:00,2025-04-30 23:12:00+00:00
O-20250430-231200-MACD-000-8,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-1-003,BTC/USDT.OKX-MACDStrategy-000,OKX-001,OKX-1-059,MARKET,BUY,0.0100,GTC,False,False,0.0100,TAKER,94221.0,0.0,['0.47110500 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,fd30576c-74d4-4963-a93c-1b0e6bedb559,2025-04-30 23:12:00+00:00,2025-04-30 23:12:00+00:00
O-20250430-234200-MACD-000-10,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-2-007,ETH/USDT.OKX-MACDStrategy-000,OKX-001,OKX-2-072,MARKET,SELL,0.0100,GTC,False,False,0.0100,TAKER,1792.93,0.0,['0.00896465 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,a4c54be7-50ce-4706-a1fd-20604782d7d2,2025-04-30 23:42:00+00:00,2025-04-30 23:42:00+00:00
O-20250430-234200-MACD-000-9,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-2-006,ETH/USDT.OKX-MACDStrategy-000,OKX-001,OKX-2-071,MARKET,SELL,0.0100,GTC,True,False,0.0100,TAKER,1792.93,0.0,['0.00896465 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,998ea0a1-19bf-48c7-a463-0912951cf278,2025-04-30 23:42:00+00:00,2025-04-30 23:42:00+00:00
O-20250501-000600-MACD-000-11,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-2-008,ETH/USDT.OKX-MACDStrategy-000,OKX-001,OKX-2-081,MARKET,BUY,0.0100,GTC,True,False,0.0100,TAKER,1796.18,0.0,['0.00898090 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,3fef71f2-f959-401b-b5e2-8a2b5efbb6f8,2025-05-01 00:06:00+00:00,2025-05-01 00:06:00+00:00
O-20250501-000600-MACD-000-12,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-2-009,ETH/USDT.OKX-MACDStrategy-000,OKX-001,OKX-2-082,MARKET,BUY,0.0100,GTC,False,False,0.0100,TAKER,1796.18,0.0,['0.00898090 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,072dffd4-bfe5-49b6-97c9-2522a68693f2,2025-05-01 00:06:00+00:00,2025-05-01 00:06:00+00:00
O-20250501-002700-MACD-000-13,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-2-010,ETH/USDT.OKX-MACDStrategy-000,OKX-001,OKX-2-090,MARKET,SELL,0.0100,GTC,True,False,0.0100,TAKER,1793.38,0.0,['0.00896690 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,29a13825-5471-41b4-94a3-8df0e2b33a28,2025-05-01 00:27:00+00:00,2025-05-01 00:27:00+00:00
O-20250501-002700-MACD-000-14,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-2-011,ETH/USDT.OKX-MACDStrategy-000,OKX-001,OKX-2-091,MARKET,SELL,0.0100,GTC,False,False,0.0100,TAKER,1793.38,0.0,['0.00896690 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,fba36d7d-42d3-4eb2-9e6f-75e1f54ff176,2025-05-01 00:27:00+00:00,2025-05-01 00:27:00+00:00
