position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl
BTC/USDT.OKX-MACDStrategy-000-1b03b573-99bb-4017-a288-f407e96ae122,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-001,O-20250430-221200-MACD-000-1,O-20250430-231200-MACD-000-7,SELL,FLAT,0.0000,0.0100,1746051120000000000,2025-04-30 22:12:00+00:00,1746054720000000000,2025-04-30 23:12:00+00:00,3600000000000,94532.2,94221.0,['0.94376600 USDT'],0.00329,2.16823400 USDT
ETH/USDT.OKX-MACDStrategy-000-8c712b9d-5e88-4274-b54f-c2aabaef50b8,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-001,O-20250430-221500-MACD-000-2,O-20250430-221800-MACD-000-3,BUY,FLAT,0.0000,0.0100,1746051300000000000,2025-04-30 22:15:00+00:00,1746051480000000000,2025-04-30 22:18:00+00:00,180000000000,1796.08,1794.79,['0.01795435 USDT'],-0.00072,-0.03085435 USDT
ETH/USDT.OKX-MACDStrategy-000-0771bd6a-b686-45cd-9557-b4de0e9e5ecd,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-001,O-20250430-221800-MACD-000-4,O-20250430-225700-MACD-000-5,SELL,FLAT,0.0000,0.0100,1746051480000000000,2025-04-30 22:18:00+00:00,1746053820000000000,2025-04-30 22:57:00+00:00,2340000000000,1794.79,1794.49,['0.01794640 USDT'],0.00017,-0.01494640 USDT
ETH/USDT.OKX-MACDStrategy-000-6f25ba53-9a63-4921-a2d2-f08bdba13b07,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-001,O-20250430-225700-MACD-000-6,O-20250430-234200-MACD-000-9,BUY,FLAT,0.0000,0.0100,1746053820000000000,2025-04-30 22:57:00+00:00,1746056520000000000,2025-04-30 23:42:00+00:00,2700000000000,1794.49,1792.93,['0.01793710 USDT'],-0.00087,-0.03353710 USDT
BTC/USDT.OKX-MACDStrategy-000-5c7dc6b8-bf8f-43a1-b9cf-646142e08e9b,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-001,O-20250430-231200-MACD-000-8,O-20250501-014500-MACD-000-19,BUY,FLAT,0.0000,0.0100,1746054720000000000,2025-04-30 23:12:00+00:00,1746063900000000000,2025-05-01 01:45:00+00:00,9180000000000,94221.0,94566.1,['0.94393550 USDT'],0.00366,2.50706450 USDT
ETH/USDT.OKX-MACDStrategy-000-82c2e50c-88e0-4fae-84b8-2ad55b12be44,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-001,O-20250430-234200-MACD-000-10,O-20250501-000600-MACD-000-11,SELL,FLAT,0.0000,0.0100,1746056520000000000,2025-04-30 23:42:00+00:00,1746057960000000000,2025-05-01 00:06:00+00:00,1440000000000,1792.93,1796.18,['0.01794555 USDT'],-0.00181,-0.05044555 USDT
ETH/USDT.OKX-MACDStrategy-000-0815ca6c-043f-4366-9e97-51e5825b43e0,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-001,O-20250501-000600-MACD-000-12,O-20250501-002700-MACD-000-13,BUY,FLAT,0.0000,0.0100,1746057960000000000,2025-05-01 00:06:00+00:00,1746059220000000000,2025-05-01 00:27:00+00:00,1260000000000,1796.18,1793.38,['0.01794780 USDT'],-0.00156,-0.04594780 USDT
ETH/USDT.OKX-MACDStrategy-000-31bd6389-1c66-44b6-86fa-a326e90fe24a,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-001,O-20250501-002700-MACD-000-14,O-20250501-003900-MACD-000-15,SELL,FLAT,0.0000,0.0100,1746059220000000000,2025-05-01 00:27:00+00:00,1746059940000000000,2025-05-01 00:39:00+00:00,720000000000,1793.38,1795.27,['0.01794325 USDT'],-0.00105,-0.03684325 USDT
ETH/USDT.OKX-MACDStrategy-000-437979ef-2be5-43b7-8b1e-63726f9d1808,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-001,O-20250501-003900-MACD-000-16,O-20250501-013900-MACD-000-17,BUY,FLAT,0.0000,0.0100,1746059940000000000,2025-05-01 00:39:00+00:00,1746063540000000000,2025-05-01 01:39:00+00:00,3600000000000,1795.27,1799.65,['0.01797460 USDT'],0.00244,0.02582540 USDT
ETH/USDT.OKX-MACDStrategy-000-88e863a9-7527-4009-9fe6-b055365688f8,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-001,O-20250501-013900-MACD-000-18,O-20250501-015400-MACD-000-21,SELL,FLAT,0.0000,0.0100,1746063540000000000,2025-05-01 01:39:00+00:00,1746064440000000000,2025-05-01 01:54:00+00:00,900000000000,1799.65,1808.01,['0.01803830 USDT'],-0.00465,-0.10163830 USDT
BTC/USDT.OKX-MACDStrategy-000-7a935adb-e103-41bb-a2e3-a1de74eb67b2,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-001,O-20250501-014500-MACD-000-20,O-20250501-020900-MACD-000-23,SELL,FLAT,0.0000,0.0100,1746063900000000000,2025-05-01 01:45:00+00:00,1746065340000000000,2025-05-01 02:09:00+00:00,1440000000000,94566.1,94725.0,['0.94645550 USDT'],-0.00168,-2.53545550 USDT
ETH/USDT.OKX-MACDStrategy-000-b6f78778-2700-4f19-84ba-9e3de169aead,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-001,O-20250501-015400-MACD-000-22,O-20250501-023900-MACD-000-29,BUY,FLAT,0.0000,0.0100,1746064440000000000,2025-05-01 01:54:00+00:00,1746067140000000000,2025-05-01 02:39:00+00:00,2700000000000,1808.01,1812.63,['0.01810320 USDT'],0.00256,0.02809680 USDT
BTC/USDT.OKX-MACDStrategy-000-d1d2ba3c-fbf7-4f84-bb41-8c1b877a175e,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-001,O-20250501-020900-MACD-000-24,O-20250501-021200-MACD-000-25,BUY,FLAT,0.0000,0.0100,1746065340000000000,2025-05-01 02:09:00+00:00,1746065520000000000,2025-05-01 02:12:00+00:00,180000000000,94725.0,94657.2,['0.94691100 USDT'],-0.00072,-1.62491100 USDT
BTC/USDT.OKX-MACDStrategy-000-7f7ba505-2295-46b7-b6fe-f836cd94a872,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-001,O-20250501-021200-MACD-000-26,O-20250501-021500-MACD-000-27,SELL,FLAT,0.0000,0.0100,1746065520000000000,2025-05-01 02:12:00+00:00,1746065700000000000,2025-05-01 02:15:00+00:00,180000000000,94657.2,94730.0,['0.94693600 USDT'],-0.00077,-1.67493600 USDT
